No,target_month,customer_id,customer_disp_name,balance_money,sales_money,credit_money,first_balance_money,other
244,201306,,株式会社大丸松坂屋百貨店大丸京都店,962861,484741,857540,1335660,
245,201306,,栄レース株式会社,971250,498750,499800,972300,
246,201306,,株式会社大丸松坂屋百貨店大丸札幌店,1051261,520198,803064,1334127,
247,201306,,株式会社ニッセン,1166550,1166550,975450,975450,
248,201306,,株式会社大丸松坂屋百貨店,1319197,1319197,1330997,1330997,
249,201306,,株式会社大丸松坂屋百貨店大丸東京店,1427330,717209,1098197,1808318,
250,201306,,株式会社京急ストア,1454092,2989192,1609965,74865,
251,201306,,株式会社丸井グループ,1470000,11418,0,0,
252,201306,,株式会社テイステイ,4252,4252,0,0,
253,201306,,クリスチャンディオール株式会社,4410,4410,0,0,
254,201306,,株式会社たんとうライフ,5040,0,0,5040,
255,201306,,ミツカワ株式会社,5250,5250,0,0,
256,201306,,株式会社ホテル三泉閣,5250,0,0,5250,
257,201306,,株式会社大阪美乃利,6300,0,0,6300,
258,201306,,株式会社クロスロード,6300,0,0,6300,
259,201306,,荒沢株式会社,6300,6300,0,0,
260,201306,,株式会社浜作,6300,0,0,6300,
261,201306,,株式会社ワールド,7350,7350,0,0,
262,201306,,スイーツファクトリー,7350,0,0,7350,
263,201306,,株式会社バリー.ジャパン,8400,8400,0,0,
264,201306,,株式会社ランカ,8610,8610,0,0,
265,201306,,株式会社オー．デリス．ドウ．シバタ,9450,0,0,9450,
266,201306,,ユニチカガーメンテック株式会社,9555,9555,0,0,
267,201306,,有限会社月輪堂,10500,10500,0,0,
268,201306,,はるやま商事株式会社,11025,11025,0,0,
269,201306,,株式会社ＣＲＯＷＮ,11025,11025,0,0,
270,201306,,株式会社丸井,11418,1470000,1470000,1470000,
271,201306,,有限会社魚常,12600,0,0,12600,
272,201306,,株式会社エピオス,13650,0,13650,27300,
273,201306,,株式会社コンフォート　ラボ,13650,0,0,13650,
274,201306,,有限会社フォーキャスト,13650,13650,0,0,
275,201306,,淡路食品衛生協会,14800,14800,0,0,
276,201306,,有限会社総本家貝新水谷新九郎商店,15120,15120,0,0,
277,201306,,株式会社笹屋伊織,15750,15750,0,0,
278,201306,,高下商店,15750,15750,0,0,
279,201306,,サンダー商事株式会社,16800,16800,0,0,
280,201306,,株式会社レナウン,17640,17640,0,0,
281,201306,,株式会社パソナ農援隊,17850,17850,0,0,
282,201306,,株式会社ＤＮＰ西日本,18900,18900,0,0,
283,201306,,株式会社神戸吉兆,21000,21000,21000,21000,
284,201306,,株式会社井泉,21000,21000,0,0,
285,201306,,海鮮焼肉風雅,21000,0,0,21000,
286,201306,,トレインコーポレーション,22050,22050,0,0,
287,201306,,株式会社ローヤル,24150,0,10500,34650,
288,201306,,株式会社シモジマ,24780,0,0,24780,
289,201306,,スカラー株式会社,25200,25200,51975,51975,
290,201306,,株式会社テイーワイトレーデイング,25200,0,0,25200,
291,201306,,株式会社ＴＳＴリテイリング,26250,26250,73500,73500,
292,201306,,株式会社セルヴァン,28350,28350,25200,25200,
293,201306,,東洋アルミエコープロダクツ株式会社,28980,28980,0,0,
294,201306,,株式会社ウエノビジネスグリル,29400,29400,0,0,
295,201306,,株式会社かめいあんじゅ,29400,29400,0,0,
296,201306,,株式会社クリエイトレストランツ,29400,29400,0,0,
297,201306,,株式会社築地寿司清,29400,29400,29400,29400,
298,201306,,千房株式会社,29400,29400,0,0,
299,201306,,株式会社日本一,29400,29400,0,0,
300,201306,,ミナミエーワン株式会社,29400,29400,0,0,
301,201306,,株式会社有喜屋,29400,29400,0,0,
302,201306,,株式会社与太呂,29400,29400,58800,58800,
303,201306,,株式会社ボヌール,30240,30240,0,0,
